Title,COMPOSER,PMEA Grade,PUBLISHER
Poet and Peasant Overture,"von Suppe, Franz",5,Carl Fischer
Poet and Peasant Overture,"von Suppe, Franz",5,Carl Fischer
Poet and Peasant Overture,"von Suppe, Franz",2,Alfred
"Polka (from ""The Bartered Bride"")",Parks,4,Alfred
Polonaise: Military Music,"Beethoven, Ludwin van",2,Medici
Ponderosa,"Brown, R. E. ",3,Grand Mesa
"Prayer and March (from ""Der Freischutz"")","von Weber, Carl Maria ",2,Alfred/Belwin/Warner Bros.
Prelude,"Zdechlik, John",4,Kjos
Prelude and Canon,"Nowak, Jerry",3,William Allen
Prelude and Dance,"Del Borgo, Elliot",2,Carl Fischer
Prelude and Fughetta,"Broege, Timothy",2,
Prelude and Fugue in Ab Major,"Bach, J.S.",3,Belwin/Warner Bros.
Prelude and Fugue in Bb Minor,"Bach, J.S.",4,Alfred
Prelude and Fugue in C Minor,"Bach, J.S.",4,Belwin/Warner Bros.
Prelude and Fugue in D Minor,"Bach, J.S.",4,Alfred/FitzSimons
Prelude and Fugue in E Minor,"Bach, J.S.",4,Studio P-R
Prelude and Fugue in E Minor,"Bach, J.S.",5,Belwin
Prelude and Fugue in F Minor,"Bach, J.S.",3,Alfred
Prelude and Fugue in F Minor,"Bach, J.S.",3,ProArt
Prelude and Fugue in G Minor,"Bach, J.S.",4,Kendor
Prelude and Fugue in G Minor,"Bach, J.S.",4,Alfred/Belwin/Warner Bros.
"Prelude and Love Death (from ""Tristan & Isolde"")","Wagner, Richard",5,Boosey & Hawkes
Prelude and Processional,"Saint Saëns, Camille",4,Hal Leonard
Prelude and Scherzo,"Brahms, Johannes",3,Ludwig
Prelude on an Old Southern Hymn,"Jager, Robert",4,Kjos
Prelude on Three Welsh Hymn Tunes,"Vaughan Williams, Ralph",5,Hal Leonard/Jenson
"Prelude to Act V  (from ""King Manfred"")","Reinecke, C.",3,Ludwig
"Prelude, Dance and Reprise","Kabalevsky, Dmitri",2,Wynn
Presentation of the Silver Rose,Strauss,5,Masters
Procession of the Knights of the Holy Grail,Wagner,5,Carl Fischer
Proclamation,"Balmages, Brian",1,FJH
Promise of Hope,"Wada, Naoya",1,Barnhouse
Quartal Sinfonia,"Coakley, D.",3,William Allen
Quartett,"Bach, J.S.",3,Wynn
Quest of the Black Knight,"Loest, Timothy",1,FJH
Quin Shi's Stone Army,"Arcari, Tyler",1,
Race to the Mon,"Fisher, Tim",1,Brolga
Radiant Shawdows,"Giroux, Julie",4,Musica Propria
Radio Flyer,"Gibson, John",2,Southern
Rapture,"Harlin, Patrick",5,Self
Reach,"Davis, T.",3,JPM 
Reckoning,"Markwoski, Michael",5,Self
Regal Ceremony,"Burns, Patrick",1,Daehn
Rejouissance,"Yozviak, Andrew",5,Northeastern
Renaissance Tryptich,Kirch,2,Shawnee
Resplendence,"Owens, William",2,FJH
Revelations,"Gillingham, David",6,Hal Leonard 
Revenge of the Darkseekers,"Melillo, Stephen",2,Stormworks
Rhapsody from the Low Countries,"Lijnschooten, Henk van",2,
Ride of the Knights,"Lopez, Victor",1,Belwin
Ripcord,"Sweet, George",2,Carl Fischer
River Park Holiday,"Owens, William",2,TRN
River Valley Serenade,Anon. or Trad.,1,Alfred
"Road Less Traveled, The","Longfield, Robert",5,Barnhouse
Road to Freedom,"Hilliard, Quincy C.",2,LudwigMasters
Romanian Dances,"Del Borgo, Elliot",2,Carl Fischer
Rondo and Round,"Christensen, J.",2,Kjos
Rondo for Winds and Percussion,"Edmondson, John",3,Barnhouse
Royal March of the Lion,"Story, Michael",1,Belwin
Runaway Circus Train,"Morales, Erik",3,FJH
Russian Folk Dance,"Lucas, Elena R.",2,Alfred/Belwin
Sacred Spaces,"Mackey, John",5,Osti 
"Saint and the City, The","de Haan, Jacob",4,DMP
San Andreas Landscapes,"Galante, Rossano",5,G. Schirmer
Sarabande,"Handel, G.F.",2,Daehn
Sarabande,"Handel, G.F.",2,William Allen
Sarabande and Gavotta,"Corelli, Arcangelo",3,Hal Leonard/Rubank
Sarabande and Gavotte,"Grieg, Edvard",3,Belwin
Sarcophagus,"Gilreath, Leslie",3,C. Alan
Sasei Fanfare,"Dietz, Brett William",5,Self 
Scandinavian Masters Suite,Various,3,Masters
Scenes from Childhood,"Turnbull, Kit",5,
Scenes from Old Russia,Anon. or Trad. ,4,Grand Mesa
Scenes of Russia,"Nikj, Johna",2,
Scherzo for Band,"Erickson, Frank",4,Bourne
"Scherzo from ""Symphony No. 5""","Shostakovich, Dmitri",5,G. Schirmer/E.C. Schirmer
Scherzo from “Fanfare for the Italian Crown”,"Rossini, Gioacchino",4,Piedmont
Scotland!,Anon. or Trad. ,3,Belwin
Sea King Overture,Whticomb,2,Barnhouse
Sea-Blue Circuitry,"Bates, Mason",5,
Secrets of McDougal's Cave,"Huckeby, Ed",2,Barnhouse
See Rock City,"Karrick, Brant",5,Alfred
Serenade and Dance,"Sudduth, James",3,RBC
Serengenti Dreams,"Smith, Robert W.",2,Alfred/Belwin
Shadow Song,"Goto, Yo",4,Brain Company
Shadows Ablaze,"Salfelder, Kathryn",5,Con Brio
Shaker Settings,Anon. or Trad. ,1,Amidan 
Shakespeare Pictures,"Hess, Nigel",5,Faber
Sheep-Shearing Song,Goosens,4,Southern
Shenandoah,Anon. or Trad.,2,Wingert-Jones
Shenandoah,Anon. or Trad.,2,Alfred
Shenandoah,Anon. or Trad.,3,Jenson
Shenandoah,Anon. or Trad.,1,Alfred/Belwin 
Shenandoah Tryptich,"Balmages, Brian",2,FJH
Shepherd's Hey,Anon. or Trad.,2,Carl Fischer
Shepherd's Hey,Anon. or Trad.,2,Alfred
Shifting Shadows,"Piunno, Nicole",2,Murphy   
Shofar,"Barber, Clarence",3,Great Works 
Short Suite for Concert Band,"Kay, Ulysses",4,Hal Leonard
Sicilan Vespers,"Verdi, Giuseppe",6,Wingert-Jones
Sicilienne,"Fauré, Gabriel",4,Carl Fischer
Siege of the Dark Castle,"Weller, Travis",1,Barnhouse
"Silver Anchor, The (A Concert Overture)","Osborne, Chester",5,William Allen
Simple Gifts,Anon. or Trad.,2,C. Alan
Simple Gifts,Anon. or Trad.,2,Belwin/G. Schirmer
Simple Gifts,Anon. or Trad.,1,Alfred
Sinfonia III: Hymns and Dances,"Broege, Timothy",5,Manhattan Beach
"Sinfonia in Bb Minor, Op. 153  ",Ponchielli,6,Masters
Sinfonietta for Winds and Percussion,"Andrews, James",5,Shawnee
Skye Boat Song,Anon. or Trad.,1,Alfred
Slane,Anon. or Trad.,3,C. Alan
Slane,Anon. or Trad.,2,Belwin
Slavic Festival,"Rodgers, Mekel",1,FJH
"Slavonic Dances, The","Dvorak, Antonin",5,Hal Leonard/Jenson 
"Sleep Gently, My Child -  Intermezzo, Op. 117, No. 1","Brahms, Johannes",2,Southern
Smililng After the Rain,"Nishimura, Yukiko",4,Excelcia
Smoke and Mirros,"Muhl, Erica",6,Self
Sol y Sombra,"Grantham, Donald",3,Piquant
Solas Ané,"Hazo, Samuel R.",4,Hal Leonard
Soldier's March,"Schumann, Robert",1,Alfred/Belwin
"Song of Loudest Praise, A","Boysen, Jr., Andrew",3,Kjos
Song of the Mountain Horn,"Bartok, Bela",2,Daehn
Song of the Telegraph,"Dicke, Ian",6,Self 
Songs of Abelard,"Dello Joio, Norman",6,Hal Leonard
Songs of Sailors and Sea,"Smith, Robert W.",6,Belwin
Songs of the Highlands (Concert Time),"Kinyon, John",1,Alfred  
Soul to Soul,"Mason, Q.",5,Murphy
Sound and Smoke,"Cuong, Viet",5,Self
Soundscape	,"Calhoun, Bill",1,Carl Fischer
Spearfish Canyon,"Barnes, James",2,Alfred
Spirituals,Anon. or Trad. ,3,Arranger's Pub.
Spring Fever,"Shaffer, David",1,Barnhouse
St. Florian Choral,"Doss, Thomas",3,Mitropa
Stained Glass Windows,"Yurko, Bruce",5,Self 
Stamp,"Boyson, Jr., Andrew",5,Kjos
Star-Rise,"Vultaggio, J. ",2,Alfred
Starflight Overture,"Mitchell, Rex",5,LudwigMasters
"Starlit Night, A","Swearingen, James",1,Barnhouse
"Starry Night, The","Billingsley, William",5,B & B
"Steppes of Russia, The","Del Borgo, Elliot",3,Concert Works Unlimited
Steps Ahead,"Gandolfi, Michael",2,American Composers Forum
Stylus Phantasticus,"Salfelder, Kathryn",6,Self 
"Suite from ""The Magic Flute""","Mozart, W.A.",3,Ludwig
"Suite from ""The Mikado""",Gilbert & Sullivan,5,
Suite No. 2,Browne,4,Warner Bros.
"Suite of Baroque Dances, A","Handel, G.F.",2,Alfred
Suite on Greek Love Songs,"van Lijnschooten, Henk ",4,Molenaar
Summer,"de Meij, Johan",5,Amstel
Sunny-Side Up,"Markowski, Michael",4,Self
Sursam Cordo,"Elgar, Edward",4,Carl Fischer
Sweet Like That,"Theofanidis, Christopher",3,American Composers Forum
"Symphonic Dance Music from ""West Side Story""","Bernstein, Leonard",5,G. Schirmer
Symphonic Dance No. 1,"Grieg, Edvard",5,Aux Arcs 
Symphonic Essay,"Del Borgo, Elliot",4,Alfred
Symphonic Essay,"Golemo, Michael",4,LudwigMasters
Symphonic Movement,"Goldstein, William",4,Sam Fox
Symphony in Bb (any mvt.)(4 mvts. published separately),"Fauchet, Paul",5,Belwin/Witmark
Symphony in Eb,Mahoney,6,Self
Symphony No. 3 ,"Reed, Alfred",5,Jenson
"Symphony No. 3, ""Circus Maximus""","Corigliano, John",6,Carl Fischer
Symphony No. 5 (mvt. 1),"Prokofiev, Sergei",6,Belwin
Take the Stairs,"Lipton, B.",2,Grand Mesa
Tamasha,"Billingsley, William",5,B & B
Tecumseh,"Kopetz, Barry",3,LudwigMasters
Ten Masters in Two Minutes,Various,1,FJH
Terminal Velocity,"Sweeney, Michael",2,Hal Leonard
"Theme from ""Barry Lyndon""","Handel, G.F.",1,Barnhouse 
there are no words,"Stephenson, James",5,Self
Thorugh the Looking Glass,"Turner, Jess Langston",5,Blue Jay Way
Three Bartok Themes,"Bartok, Bela",2,PRO
Three Classic Miniatures,"Kinyon, John",1,Alfred/Warner Bros.
Three Czech Folk Songs,Anon. or Trad. ,2,Hal Leonard 
"Three Dance Episodes (from ""Ballet Spartacus"")","Khatchaturian, Aram",6,MCA
Three Dorset Songs,"Vaughan Williams, Ralph",4,Daehn
Three English Folk Song Miniatures,"Sparke, Phillip",2,Hal Leonard/Anglo
"Three Folk Song Settings, 1. Poor Wayfaring Stranger","Boysen, Jr., Andrew",4,Alfred
"Three Folk Song Settings, 2. All the Pretty Little Horses","Boysen, Jr., Andrew",3,Alfred
"Three Folk Song Settings, 3. Scarborough Fair","Boysen, Jr., Andrew",4,Alfred
Three Hungarian Songs,"Bartok, Bela",2,Bourne
Three Places in England,"Stamp, Jack",5,Kjos
Three Renaissance Dances,Anon. or Trad.,2,Hal Leonard
"Three Romances, Op (any 1 mvt.)",Schuman,4,Bravo
"Three Studies in English Folk Song (play mvt. 3 plus, at least 1 other mvt.)","Vaughan Williams, Ralph",3,Alfred
Through the Mist,"Balmages, Brian",2,FJH
Thunderous,"Lopez, Victor",1,Belwin
"Thus Do You Fare, My Jesus","Bach, J.S.",4,Barnhouse
To Be Found,"Arcari, Tyler",3,Carl Fischer
To Forge the New Fronteir,"Ford, Ralph",3,Belwin
Tocata and La Tumba ,"Hanson, Shelley",5,GH
Toccata and Fugue in C Major,"Bach, J.S.",5,Boosey & Hawkes
Tokyo 2000,"O'Reilly, John",3,Alfred
"Tom Sawyer Portrait, A","Jarvis, R.",4,Barnhouse
Trauersinfonie,"Wagner, Richard",5,Hal Leonard/Associated
Trilogy: Variations on Themes of Howard Hanson,"Tyzik, Jeff",5,Self
"Trio from Act III of ""Der Rosenkavalier"" ","Strauss, Richard",5,TRN
Triumphal March,"Grieg, Edvard",2,Alfred
"Triumphal March and Ballet Music (from ""Aida"")","Verdi, Giuseppe",5,Ludwig
Troika Rushing,"Johnson, Timothy",1,Curnow
Truckin!,"Harberg, Amanda",2,Barnhouse
True Calling,"Young, Charles Rochester",5,FJH
Twas in the Moon of Wintertime,"McGinty, Anne",3,General Words & Music
Two British Folk Songs,Anon. or Trad.,2,Hal Leonard 
Two Eighteenth Century Minuets,"Mozar, Leopold & William Duncombe",2,BRS
Two English Dances,Anon. or Trad.,1,Alfred
Two Irish Folk Songs,Anon. or Trad. ,2,Alfred
Two Madrigals,"Morley, Thomas",2,Alfred/Belwin
Two Slavonic Dances,"Dvorak, Antonin",4,Shawnee
Two Welsh Folk Songs,"Del Borgo, Elliot",2,Carl Fischer
Under Cover of Night and Into the Light of Day,"Melillo, Stephen",4,Stormworks
"Valse (from ""Petrouchka"")","Stravinsky, Igor",2,ProArt
Variation on a Civil War Tune: The Cumberland's Crew,Anon. or Trad. ,2,Alfred/Belwin
Variation on an English Folk Song,Anon. or Trad. ,2,Alfred
"Variations on ""Mein Junges Leben hat ein End""","Ricker, Ramon",5,Schirmer
Variations on a Shaker Melody,"Copland, Aaron",5,Boosey & Hawkes
Venetian Masters Suite,Various,3,Belwin/LudwigMasters
Vicitmae Paschali Laudes,"Holloman, Samuel",4,Concert Works Unlimited
Victory,"de Haan, Jacob",4,DMP
Viva Italia!,Anon. or Trad. ,3,Belwin
"Volver a la Manuel  (from ""Islas y Montanas"")","Hanson, Howard",4,Hal Leonard/Boosey & Hawkes
Voodoo Dance,"Del Borgo, Elliot",1,Belwin
"Vorspeil und Liebestod (from ""Tristan and Isolde"")","Wagner, Richard",5,Boosey & Hawkes
"Walkup, The","Jolley, Jennifer",2,Murphy   
"Waltz from ""Eugene Onegin""","Tchaikovsky, P.I. ",4,Belwin
"Water is Wide, The",Anon. or Trad.,2,Daehn
"Water Is Wide, The",Anon. or Trad.,2,Barnhouse
"Welcome Voice, A",Hartsough/McKinney ,1,Eighth Note 
Wellington Overture,"McGinty, Anne",1,Kjos/Queenwood
When Johnny Comes Marching Home,"Gilmore, Patrick",3,
Where Words Ends,"Standridge, Randall",2,FJH
Whispering Ridge,"Earl, C.",2,Barnhouse
Winds of Eternity,"Bernotas, Chris",2,Northeastern
"Winged Serpent, The","Drake, Brian",1,Grand Mesa
Winter Evening Song,"Israel, B.",3,LudwigMasters
"Witch and the Spirit, The","Reineke, Steven",4,Barnhouse
"Woodland Serenade (from ""Nightmusic"")","Mozart, W.A.",1,Wimbledon/Trigram
Wyndam Variations,"Swearingen, James",2,Barnhouse
Ye Banks and Braes O' Bonnie Doon,Anon. or Trad.,1,Hal Leonard 
Yellow Mountains,"de Haan, Jacob",2,De Haske
Yonaguska,"Owens, William",3,FJH
